product_name,product_price,product_image,product_image_1,product_image_2,search_text
Black Demitasse Saucer,$0.48 ,https://partyperfect.com/itemimages/1248t.jpg,https://partyperfectcom/itemimages/1248-1.jpg,https://partyperfectcom/itemimages/2248-,CHINA_RENTALS
Black Square Bowl,$0.68 ,https://partyperfect.com/itemimages/1245t.jpg,https://partyperfectcom/itemimages/1245-1.jpg,https://partyperfectcom/itemimages/2245-,CHINA_RENTALS
CHINA - CAROLINE, ,https://partyperfect.com/itemimages/8784t.jpg,https://partyperfectcom/itemimages/8784-1.jpg,https://partyperfectcom/itemimages/8784-2.jpg,CHINA_RENTALS
CHINA - JULIA PLATINUM RIM, ,https://partyperfect.com/itemimages/8799t.jpg,https://partyperfectcom/itemimages/8799-1.jpg,https://partyperfectcom/itemimages/8799-2.jpg,CHINA_RENTALS
CHINA - PEACOCK, ,https://partyperfect.com/itemimages/8797t.jpg,https://partyperfectcom/itemimages/8797-1.jpg,https://partyperfectcom/itemimages/8797-2.jpg,CHINA_RENTALS
CHINA - REGINA, ,https://partyperfect.com/itemimages/8785t.jpg,https://partyperfectcom/itemimages/8785-1.jpg,https://partyperfectcom/itemimages/8785-2.jpg,CHINA_RENTALS
CHINA - WHITE JULIA, ,https://partyperfect.com/itemimages/8800t.jpg,https://partyperfectcom/itemimages/8800-1.jpg,https://partyperfectcom/itemimages/8800-2.jpg,CHINA_RENTALS
"Heirloom Linen Dinner Plate 10.75""",$0.71 ,https://partyperfect.com/itemimages/9312t.jpg,https://partyperfectcom/itemimages/9312-1.jpg,https://partyperfectcom/itemimages/9322-,CHINA_RENTALS
"Heirloom Linen Salad Plate 8""",$0.71 ,https://partyperfect.com/itemimages/9311t.jpg,https://partyperfectcom/itemimages/9311-1.jpg,https://partyperfectcom/itemimages/932,CHINA_RENTALS
"Heirloom Smoke Dinner Plate 10.75""",$0.71 ,https://partyperfect.com/itemimages/9314t.jpg,https://partyperfectcom/itemimages/9314-1.jpg,https://partyperfectcom/itemimages/9324-,CHINA_RENTALS
"Heirloom Smoke Salad Plate 8""",$0.71 ,https://partyperfect.com/itemimages/9313t.jpg,https://partyperfectcom/itemimages/9313-1.jpg,https://partyperfectcom/itemimages/9323-,CHINA_RENTALS
Square Deep Dish Platter,$1.47 ,https://partyperfect.com/itemimages/1228t.jpg,https://partyperfectcom/itemimages/1228-1.jpg,https://partyperfectcom/itemimages/2228-,CHINA_RENTALS
Triangular White Salad Plate,$0.63 ,https://partyperfect.com/itemimages/1233t.jpg,https://partyperfectcom/itemimages/1233-1.jpg,https://partyperfectcom/itemimages/2233-,CHINA_RENTALS
White Asian Spoon,$0.48 ,https://partyperfect.com/itemimages/1249t.jpg,https://partyperfectcom/itemimages/1249-1.jpg,https://partyperfectcom/itemimages/2249-,CHINA_RENTALS
White Demitasse Cup,$0.48 ,https://partyperfect.com/itemimages/8276t.jpg,https://partyperfectcom/itemimages/8276-1.jpg,https://partyperfectcom/itemimages/8276-2.jpg,CHINA_RENTALS
White Demitasse Saucer,$0.48 ,https://partyperfect.com/itemimages/1235t.jpg,https://partyperfectcom/itemimages/1235-1.jpg,https://partyperfectcom/itemimages/2235-,CHINA_RENTALS
White Square Soup Bowl,$0.48 ,https://partyperfect.com/itemimages/1234t.jpg,https://partyperfectcom/itemimages/1234-1.jpg,https://partyperfectcom/itemimages/2234-,CHINA_RENTALS
White W/ Gold Rim Bread &amp; Butter Plate,$0.63 ,https://partyperfect.com/itemimages/1200t.jpg,https://partyperfectcom/itemimages/1200-1.jpg,https://partyperfectcom/itemimages/2200-,CHINA_RENTALS
White W/ Gold Rim Coffee Cup,$0.63 ,https://partyperfect.com/itemimages/1201t.jpg,https://partyperfectcom/itemimages/1201-1.jpg,https://partyperfectcom/itemimages/220,CHINA_RENTALS
White W/ Gold Rim Dinner Plate,$0.63 ,https://partyperfect.com/itemimages/1203t.jpg,https://partyperfectcom/itemimages/1203-1.jpg,https://partyperfectcom/itemimages/2203-,CHINA_RENTALS
White W/ Gold Rim Salad Plate,$0.63 ,https://partyperfect.com/itemimages/1199t.jpg,https://partyperfectcom/itemimages/1199-1.jpg,https://partyperfectcom/itemimages/2,CHINA_RENTALS
Cotton Candy, ,https://partyperfect.com/itemimages/8852t.jpg,https://partyperfectcom/itemimages/8852-1.jpg,https://partyperfectcom/itemimages/8852-2.jpg,CONCESSION_RENTALS
Frozen Drinks, ,https://partyperfect.com/itemimages/8853t.jpg,https://partyperfectcom/itemimages/8853-1.jpg,https://partyperfectcom/itemimages/8853-2.jpg,CONCESSION_RENTALS
Hot Dog Steamer,$41.82 ,https://partyperfect.com/itemimages/1263t.jpg,https://partyperfectcom/itemimages/1263-1.jpg,https://partyperfectcom/itemimages/2263-,CONCESSION_RENTALS
Popcorn, ,https://partyperfect.com/itemimages/8850t.jpg,https://partyperfectcom/itemimages/8850-1.jpg,https://partyperfectcom/itemimages/8850-2.jpg,CONCESSION_RENTALS
Sno Cones, ,https://partyperfect.com/itemimages/8851t.jpg,https://partyperfectcom/itemimages/8851-1.jpg,https://partyperfectcom/itemimages/8852-,CONCESSION_RENTALS
